FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
70 y Pico (70 and Pico)	2016	Mariano Corbacho	Argentinean Dictatorship	0																			
and El hijo del cazador (The son of the hunter) 	2018	Germán Scelso, Federico Robles	Argentinean Dictatorship	0																			
Promises, Promises		Judy Jackson	Argentinean Dictatorship	0	en	33			ONLINE	https://www.judyfilms.com/filmography?pgid=jul8lmpn-f8f25a53-e712-4284-8f4d-2d3ddd146ded													
(Dis)Appear	2023	Piotr Cieplak	Argentinean Dictatorship 	0	en	64		UK															
Ravished Armenia (Auction of Souls)	1918	Oscar Apfel	Armenia	0	en	21		US		https://www.youtube.com/watch?v=P3oZiTTubjw&ab_channel=CinemaHistory	[of 9 original reels only 20 min clip survives; includes nude crucifixion scene of women; represents broadly accurately historical dynamics of the genocide: disarming of Armenian soldiers in Ottoman army in Jan 1915; separating men from women and children; torture and sexual violence before killing; long marches through desert; mass burnings and mass drownings] opens with photo of three mustachioed generals pointing to map, then footage of smoke and explosions with big-lettered "1914" appearing on screen; then soldiers running across exploding terrain, trench fighting; then big letters "1915", then title card "the greatest tragedy of the Armenian people"; then of woman and two indistinct persons overlaid onto explosions with caption "Der Zor"; then marching soldiers with captions "the disarming and separating of Armenian soldiers begins in January 1915" while lined up soldiers lay down their arms and are then shown to dig in the ground with caption saying many were made to dig their own graves; [acc. to Anthony Slide the original film begins now when captions / subtitles mention deportations and we see the bell tolling] then old man with long white beard, a religious leader, and then several women, hear of news of massacres of Armenians in Van; Armenian men especially notables and religious leaders arrested and, after being marched out of town, executed by "Turkish gendarmes" [acc. to subtitles] white film shows Turkish gendarmes shooting at the men; film shows plundering of the dead and looting of Armenian homes over images of turbulent crowd; then film shows man hanging up deportation order in public place, while Armenian religious leaders (all men with traditional garb and long white beards) confer among themselves on "how to prepare the populace"; film shows women in hoods locked in barn; religious leaders plead with officials but are publicly stabbed for questioning orders; then a general massacre to military drums and music; then women shown being marched out of town into the desert, while "men for the most part were already killed"; then Aurora shown among Mardiganian family; then people loaded onto barges and then dumped into the waters to drown (people shown being thrown off); then desert with tents ripped so people couldn't shelter from the sun; footage of water again, then desert again; then group of men in desert who subtitles describe as "Turkish gendarmes haggling over who will take the prettiest women", then women are digging captioned as asking what is in store for them; then Turkish gendarmes abduct women while subtitles say rapes occur daily, film shows one woman resisting men; then "mothers try to console their daughters afterwards" as film shows old woman hugging younger one; some die from abuse, as one young woman dies dramatically in the arms of an older one; film shows people being hurried on their marches while captions say they are moved along circuitous routes to wear them down; women are shown thirsty and starving while Turkish gendarmes enjoy their "orgies"; oder woman shown talking with others about escape, but subtitles say there is no escape only death; then film shows people being herded into church and sealed inside while gasoline is poured onto building and set ablaze, while film shows people inside arms raised, including a man shown praying to god before going down; more footage of women returned to tents from their abuses; then slave markets where Armenian girls are sold, with Aurora Mardiganian "sold for 85 cents"; woman with infant shown while captions say that often infants died in mother's arms; film shows people praying and captions say that amidst all this people "do not forget their prayers"; then film shows woman who couldn't march on being left behind to die; then film shows women throwing themselves off cliffs to avoid a worse fate; then "along the deportation routes local populations lie in wait to plunder the deportees" and "strip them of all they have" with film showing people being stripped, "gendarmes too get involved, taking even little girls"; then "Kurdish chiefs and their gangs are sure to take their share of the booty" as film shows bedouin-like riders with sabers carrying off girls on their horses and other women shown screaming after them; more footage of encampments of women; children shown desperate for water; then "Kurdish gangs raid village"; Armenian religious leaders shown pleading with Kurdish "invaders"; Kurds enter churches of those seeking to hide there and drag them out; woman being dragged by her feet through desert sand, more mention of abductions of women, and then a dead woman shown with bloody slash on cheek; girl riding on horse with abductor behind her; then preparation for "the game of swords" with sabers shown buried in the sand and men lined up with captions saying Armenian women were made to sit on them "impaled, writhing slowly and painfully to their death", footage of women clasping hands over their heads while jubilant perpetrator crowd celebrates the "torment of the innocent young Armenian maidens"; then crucifixion scene shown with naked girls on cross, raven looming above; abrupt end;	fiction	Turkish gendarmes, local population, Kurdish chiefs	M	none explicitly given (persecution comes out of nowhere), sexual gratification, looting		fiction	Armenians	G, M	TRUE			
Yerkir hayreni (Fatherland / Native Land)	1945	Gurgen Balasanyan, Levon Isahakyan , Hrayr Zargaryan	Armenia	0	ru	58	Armkinokhronika	Armenia, USSR			[Soviet-Armenian film celebrating the 25th anniversary of Armenian Sovietization but possibly the first documentary (and definitely the first Armenian documentary, acc. to Galstyan's Cinema of Armenia) to feature archival footage / still of the genocide]												
Where Are My People	1965	J. Michael Hagopian	Armenia	1	en	28	Atlantis	US	FILE	https://www.youtube.com/watch?v=NXSh32EW9-o&ab_channel=KarenAnahit	[individual survivors are introduced but not interviewed and instead stylized into symbolic victims; features archival stills from the Near East Relief collections and Yerevan History Museum collection] opens with montage of mostly color footage of various Armenians with v-o saying "these were my people. where are they now? some were to die of broken old age, some to be lost forever in the desert, others taken into bondage, but most of them perished in the agony of their mountain land, slain and scattered to desert winds by the official commands of a government, and a nation nearly perished in the greatest mass martyrdom the world had ever seen", then music and title card; then v-o again talking about diaspora over footage of family at home and then v-o introes the woman in the family while she looks at an old family photo and while her children play and v-o says that she was the sole survivor of the family and says that she lived in the mountains between "Europe, Asia, Russia, and Aarabia"; then v-o talks about Ararat and Noah's ark, then talks about Armenian settlements around Ararat and their early kingdoms, talks about Assyria, Parthia, Rome, and Persia fighting over Armenia with paintings of battles shown; then v-o talks about the "pagan era" from 700 BC to 301 AD and says Armenia was a buffer between East and West; then Armenia at greatest expansion under Tigranes the Great 140-55 BC with 25 million claimed subjects with map shown; then Armenian church shown and we see a cleric look at historical book while v-o says Armenians managed to "cling to their soil, to their creed, and their language and yet survived", then v-o talks about Christian era starting in 4th century and Armenian language received an alphabet and v-o says "these were the golden centuries" and "Armenia became the first Christian nation"; then Zoroastorian king of Persia fights Christian Armenians (with historical paintings shown) and v-o says this was the first great battle for religious freedom and the Christian faith, but Armenians lost and archival b&w photo of Armenian battle commander's tomb which has stood for "centuries" on the "Anatolian plain, a monument to the victory of faith over force"; then v-o says next 1500 years church was "backbone" of Armenian life; then lengthily Armenian Christian medieval paintings and sculptures are shown and v-o points out that Armenia is older than most empires; then in 1100 the Seljuk Turks destroyed Armenian capital Ani with archival b&w photos of ruins shown and v-o saying that it symbolizes "martyrdom"; then Tartars driving Armenians southward and they establish the kingdom of Cilician Armenia (southern Anatolia) where they welcomed the crusaders, but eventually fell to Muslim invaders in 1375, and king goes to exile in France where he was unsuccessfully pleading the cause of his people and died; then v-o talks about "the long night of oppression began under the Ottoman Turks, but the dream of an independent Armenia never died" and they began their 500 year "struggle for survival" which they managed through their "deathless will to live" (with sepia and b&w photos shown), some idealized descriptions of Armenian life; then v-o claims "the way to exterminate the memory of a race is to destroy its books. Books on Armenian history were prohibited by the Sultans" and "as the Ottoman Empire declined oppression of her Christian minorities became more severe", "American ambassador to Turkey Henry Morgenthau, British jurist Lord Bryce and historian Arnold J Toynbee authenticated the final martyrdom of the Armenian people: the Turkish government decided to rid itself of the Armenians through planned extermination, through total genocide. The Ottoman government feared that the Western powers would in time force them to grant independence to the Armenians thus Turkey would lose some of the most important parts of its empire. While the world's attention was diverted by the First World War Turkish authorities felt they could act with greater boldness" and while a text document is shown v-o emphasizes "the plan was deliberate extermination" with Talat and Enver Pasha and Cemal Bey identified as main perpetrators and as giving killing orders with a handwritten document shown and v-o reading or claiming to read "government has decided to destroy completely. All the Armenians living in Turkey all Armenians from five years of age upward are to be taken out of the towns and slaughtered" "unsuspected by the Armenians"; then photos shown and v-o says Armenian intellectuals and soldiers were taken to be killed while towns were pillaged and "religious fanaticism was aroused against them [Armenians]"; then deportations with archival photos with a column of deportees from Kharpert alone numbering 5000 and being killed, others were marched "to the waterless Arabian deserts over silent slopes, into the burning tortured wastelands" and describes "starving Armenians" as once "the most prosperous and advanced of all the peoples in Turkey", rapid montage of atrocity photos shown with cuts to closeups of victim faces, then violent drawings shown while v-o states that "almost 1.5 million Armenians" died and of a population of 2 million "less than 100 000" remained within the "Turkish Empire", mentions economic losses, then says that "many Armenian girls were forced into Turkish harems", then v-o reiterates "where are my people, asks the shepherd boy on Ararat", and v-o reiterates "where are my people" and restates basically what he said at opening of the documentary; then April 24 as commemoration by international community of Armenians with footage of Armenian Patriarch at ceremony; then Woodrow Wilson proposing autonomy of Armenia under American sponsorship, but US senate not agreeing; then fate of the orphans with photos of starved children and decisionmakers and it was now up to them to "preserve the heritage of their people" with more photos of orphans; then present-day footage of "a girl blinded by atrocities caressing a Braille map of the homeland" and "a grandfather who has lost his entire family searching in the Bible with faith unshaken for an answer" and "a boy who lost all forgetting his loneliness for a moment in the music of his people"; then footage of pilgrimage on April 24 to commemorate "the great martyrdom"; then v-o says "hat which happened to the Armenians during the First World War has happened to others since. It could happen again today or tomorrow" and "new generations cannot understand the injustices of yesteryear, yet the older generations remain silent as new crimes are committed against humanity"; end credits	archival	Turks	M	fear over territorial loss, world power inattention during WWI, history of violence against Armenians, pillaging, religious animosity		archival	Armenians	None	TRUE	H		
Historical Armenia	1967	J. Michael Hagopian	Armenia	0	en	53		US	DVD														
A Visit to the Homeland	1969		Armenia	0	ru	20	Yerevan Documentary Newsfilm Studio	USSR		https://www.youtube.com/watch?v=c4qI_Bi2yDU&ab_channel=TOOLVEVO	[very briefly notes the genocide as "tragedy" and exceedingly vaguely over contemporary footage at the Tsitsernakaberd memorial]												
Menq (We)	1969	Artavazd Peleshyan	Armenia	0.5	ru	27	Yerevan Film Studio	Armenia, USSR		https://www.youtube.com/watch?v=56jkNK7vUNk&ab_channel=sipsun8	[experimental montage documentary b&w featuring archival footage / still of the genocide esp. of an Armenian girl, some footage of perpetration, as well as footage of contemporary commemoration of the genocide?, the only text seems to be at the opening of the film, see Galstyan's Cinema of Armenia pp. 124-127; https://www.sensesofcinema.com/2017/soviet-cinema/we/]		None	M	None		archival	Armenians	F	FALSE	experimental		
